Issuer,RIC,Exchange,TRBC Sector,GICS Sector,Market Cap (USD),Price to Book Ratio,% Price Change Year To Date,% Price Change Relative to Index YTD,% Price Change Relative to Sector YTD,% Price Change 1Y
NVIDIA Corp,NVDA.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",4380075000000,27.846598,-3.351206,1.618363,-1.822587,55.952587
Tesla Inc,TSLA.O,NASDAQ Global Select Consolidated,Electric (Alternative) Vehicles,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",1467951392140,17.871987,-13.012541,-8.539747,-0.216835,62.539471
Micron Technology Inc,MU.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",479613261389,8.854671,49.304509,56.981575,51.665943,349.125211
Sandisk Corp,SNDK.O,NASDAQ Global Select Consolidated,Storage Devices,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",97655755094,10.596328,178.717668,193.049008,192.570398,1265.854666
Microsoft Corp,MSFT.O,NASDAQ Global Select Consolidated,Software (NEC),"Information Technology, Software & Services, Software, Systems Software",2937207581011,8.551345,-18.210579,-14.005061,-0.492046,4.430129
Broadcom Inc,AVGO.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",1525320702157,18.763479,-6.917076,-2.13086,-5.444855,68.352843
Apple Inc,AAPL.O,NASDAQ Global Select Consolidated,Phones & Smart Phones,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",3677440074360,49.875091,-7.996763,-3.266063,-3.42405,19.286532
Amazon.com Inc,AMZN.O,NASDAQ Global Select Consolidated,Internet & Mail Order Department Stores,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Broadline Retail",2229321017072,5.423281,-10.02946,-5.403279,-2.897676,7.107123
Meta Platforms Inc,META.O,NASDAQ Global Select Consolidated,Social Media & Networking,"Communication Services, Media & Entertainment, Interactive Media & Services",1552413483811,7.145977,-7.026315,-2.245715,--,3.905933
Alphabet Inc,GOOGL.O,NASDAQ Global Select Consolidated,Search Engines,"Communication Services, Media & Entertainment, Interactive Media & Services",3652221999999,--,-3.42492,1.540859,--,85.721307
Oracle Corp,ORCL.K,NYSE Consolidated,Enterprise Software,"Information Technology, Software & Services, Software, Systems Software",446103495060,21.813285,-20.419681,-17.860153,-3.179719,5.045375
Palantir Technologies Inc,PLTR.O,NASDAQ Global Select Consolidated,Software (NEC),"Information Technology, Software & Services, Software, Application Software",360871743825,48.850501,-15.077356,-10.710732,9.884117,89.588043
Advanced Micro Devices Inc,AMD.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",315305152927,5.004923,-9.698356,-5.05515,-8.270125,97.115483
Kioxia Holdings Corp,285A.T,Tokyo Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",72063655861,26.24045,101.868711,89.627636,93.688273,667.954794
Intel Corp,INTC.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",228621150000,2.000518,24.03794,30.415828,25.999752,93.122363
Netflix Inc,NFLX.O,NASDAQ Global Select Consolidated,Online Services (NEC),"Communication Services, Media & Entertainment, Entertainment, Movies & Entertainment",402414274516,15.119553,1.653157,6.880045,--,7.069436
Lumentum Holdings Inc,LITE.O,NASDAQ Global Select Consolidated,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",44446500000,39.170265,68.886839,77.570805,58.275113,932.509537
Samsung Electronics Co Ltd,005930.KS,Korea Exchange - KSE,Phones & Handheld Devices (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",800804189321,5.228436,53.044204,17.537103,6.928075,235.466179
Exxon Mobil Corp,XOM,NYSE Consolidated,Oil & Gas Refining and Marketing (NEC),"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas",650515110282,2.507904,29.732425,33.904987,-0.144399,43.664305
Chevron Corp,CVX,NYSE Consolidated,Integrated Oil & Gas,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas",392731781785,2.106365,29.138508,33.291968,-0.601539,28.129679
JPMorgan Chase & Co,JPM,NYSE Consolidated,Banks (NEC),"Financials, Banks, Diversified Banks",764446856370,2.232659,-12.035255,-9.20606,0.905341,25.867046
Salesforce Inc,CRM,NYSE Consolidated,Cloud Computing Services,"Information Technology, Software & Services, Software, Application Software",177982090000,3.009403,-27.209241,-24.868084,-5.813716,-29.038787
SK Hynix Inc,000660.KS,Korea Exchange - KSE,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",434431975664,9.105513,39.784946,7.354066,-2.33583,355.683525
Vertiv Holdings Co,VRT,NYSE Consolidated,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",99047090360,25.130564,59.792605,64.931988,51.297341,211.565772
Strategy Inc,MSTR.O,NASDAQ Global Select Consolidated,Enterprise Software,"Information Technology, Software & Services, Software, Application Software",44401156689,1.014434,-8.081606,-3.355268,18.936141,-46.945985
Huagong Tech Co Ltd,000988.SZ,Shenzhen Stock Exchange,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",17374414577,11.726174,49.61553,40.175381,--,175.830816
Sungrow Power Supply Co Ltd,300274.SZ,Shenzhen Stock Exchange,Renewable Energy Equipment & Services (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",52937231821,9.852863,2.543265,-3.92681,--,159.452663
Applovin Corp,APP.O,NASDAQ Global Select Consolidated,Application Software,"Information Technology, Software & Services, Software, Application Software",154699300260,72.469856,-31.929892,-28.429806,-11.921917,68.628676
